date,epsActual,epsEstimate,hour,quarter,revenueActual,revenueEstimate,symbol,year
2026-03-17,,-0.0476,amc,4,,5495760.0,ICAD,2025
2026-03-17,1.6,1.614,bmo,4,8641000000.0,8511718743.0,TME,2025
2026-03-17,,-0.1734,amc,4,,26101545.0,SCPH,2025
2026-03-17,-4.51,-4.4472,amc,4,0.0,0.0,INDP,2025
2026-03-17,0.08,0.0632,bmo,1,6710000.0,6349500.0,CODA,2026
2026-03-17,,,,4,,,FTW,2025
2026-03-17,-0.1,-0.1088,bmo,4,41777000.0,41480003.0,STIM,2025
2026-03-17,-0.69,-0.8262,dmh,4,278292000.0,249498120.0,BNED,2025
2026-03-17,-0.28,-0.0714,amc,4,0.0,0.0,TELO,2025
2026-03-17,-0.13,-0.0969,amc,4,153306000.0,151329240.0,NRGV,2025
2026-03-17,-0.5,-0.1339,amc,4,945000.0,880650.0,NN,2025
2026-03-17,0.24,0.2544,amc,4,405662000.0,424423632.0,TTAM,2025
2026-03-17,1.97,2.0853,bmo,4,1718471000.0,1775233448.0,ASO,2026
2026-03-17,-0.07,-0.0306,amc,4,6063000.0,6885000.0,IZEA,2025
2026-03-17,,,,2,,,CNXX,2025
2026-03-17,0.02,,bmo,4,1580000.0,,PFHO,2025
2026-03-17,0.65,0.3787,bmo,4,545400000.0,498134850.0,CAAP,2025
2026-03-17,,,,4,,,BIOF,2025
2026-03-17,-0.29,-0.2448,amc,4,0.0,0.0,ANTX,2025
2026-03-17,-0.77,-0.1389,amc,4,9131000.0,10217412.0,FLD,2025
2026-03-17,,,,4,,,GLLI,2025
2026-03-17,0.16,0.2907,bmo,4,55361000.0,56100000.0,LWAY,2025
2026-03-17,-0.51,-0.5421,bmo,4,0.0,0.0,KLRS,2025
2026-03-17,-0.26,-0.204,amc,4,10410000.0,10251000.0,CLPT,2025
2026-03-17,6.34,1.9788,amc,4,93465000.0,93942000.0,SCOR,2025
2026-03-17,-0.29,-0.9559,bmo,4,47955000.0,7215051.0,BCYC,2025
2026-03-17,,,,4,,,HSTA,2025
2026-03-17,-0.25,-0.204,bmo,4,7331000.0,6403560.0,PSQH,2025
2026-03-17,1.01,0.9655,amc,4,836860000.0,844397758.0,DOCU,2026
2026-03-17,-0.06,-0.0459,amc,3,513000.0,1930860.0,OPTT,2026
2026-03-17,-0.03,-0.0606,amc,4,6133000.0,6066060.0,IPM,2025
2026-03-17,-0.56,-0.3586,bmo,4,2781000.0,15816120.0,GLUE,2025
2026-03-17,0.35,0.2579,amc,4,648827000.0,661657935.0,BOBS,2025
2026-03-17,3.57,3.2079,bmo,4,2787826000.0,2850926346.0,ATAT,2025
2026-03-18,2.69,2.5329,bmo,2,8282000000.0,7821388267.0,JBL,2026
2026-03-18,-0.12,-0.1722,amc,4,49130000.0,47430000.0,HTFL,2025
2026-03-18,-0.16,-0.1938,amc,4,10000.0,30600.0,SERA,2025
2026-03-18,-0.13371,-0.102,bmo,4,5318000.0,4824600.0,TGEN,2025
2026-03-18,4.31,4.0836,amc,4,1728480000.0,1739033108.0,FIVE,2026
2026-03-18,,,,4,,,APT,2025
2026-03-18,,,,4,,,PHYS,2025
2026-03-18,0.06,-0.1214,bmo,4,718000.0,13596.0,OVID,2025
2026-03-18,,,,2,,,PURE,2026
2026-03-18,-0.76,-0.6392,bmo,4,15825000.0,15802176.0,SPIR,2025
2026-03-18,-0.2082,-0.3468,bmo,4,36550.0,0.0,HIND,2025
2026-03-18,0.14,0.0,amc,4,51299000.0,26387400.0,GORO,2025
2026-03-18,,,,4,,,TTNP,2025
2026-03-18,0.23,0.0874,amc,4,80499000.0,52769975.0,ELA,2025
2026-03-18,,-4.6206,amc,4,,324843480.0,NEUE,2025
2026-03-18,,,,2,,,RFL,2026
2026-03-18,-0.06,-0.0918,amc,4,33821000.0,25194000.0,DVLT,2025
2026-03-18,0.64,0.7334,bmo,3,4436700000.0,4461510844.0,GIS,2026
2026-03-18,,,,4,,,YRD,2025
2026-03-18,0.08,0.0811,bmo,4,294650000.0,298462526.0,SAIL,2026
2026-03-18,0.26,-0.1581,bmo,4,13757000.0,11270388.0,XOMA,2025
2026-03-18,-2.54,-3.672,amc,4,18000.0,20400.0,ACON,2025
2026-03-18,-0.37,-0.0459,amc,4,168895000.0,163125203.0,ALVO,2025
2026-03-18,-0.17,-0.153,amc,4,26235000.0,24396696.0,RCAT,2025
2026-03-18,,,,4,,,ARL,2025
2026-03-18,1.67,1.5647,bmo,4,7639000000.0,7747700149.0,M,2026
2026-03-18,-0.35,-0.1836,bmo,2,,,ESLA,2026
2026-03-18,-3.6,-1.1016,bmo,4,5081000.0,8017710.0,LFWD,2025
2026-03-18,-2.57,-1.53,amc,4,,,PCSA,2025
2026-03-18,13.04,-6.2356,amc,4,0.0,0.0,MBRX,2025
2026-03-18,0.0,,,1,630000.0,,IVDN,2026
2026-03-18,,,,4,,,GBR,2025
2026-03-18,-0.08,-0.0606,bmo,4,22170000.0,23230000.0,UCL,2025
2026-03-18,0.1,0.0404,bmo,4,11985000.0,16017256.0,OSS,2025
2026-03-18,0.24,,amc,4,13710000.0,,LPA,2025
2026-03-18,,-3.315,amc,4,,0.0,NCNA,2025
2026-03-18,,,,4,,,ETHM,2025
2026-03-18,,,bmo,4,,,SLNCF,2025
2026-03-18,,,,4,,,FBLA,2025
2026-03-18,-0.07,-1.1832,bmo,4,0.0,0.0,DWTX,2025
2026-03-18,,,,4,,,MVO,2025
2026-03-18,0.4,0.4019,amc,4,46534000.0,49001820.0,TATT,2025
2026-03-18,0.43,-0.7777,amc,4,85090000.0,9363600.0,FDMT,2025
2026-03-18,-0.08,-0.0816,bmo,4,21220000.0,19982820.0,GIFT,2025
2026-03-18,12.2,9.5849,amc,2,23860000000.0,20669515369.0,MU,2026
2026-03-18,,-0.0612,,4,,255000.0,CDIO,2025
2026-03-18,-0.14,-0.124,amc,4,225000.0,153000.0,PROK,2025
2026-03-18,-0.05,-0.0816,amc,4,5293000.0,5258100.0,HYPR,2025
2026-03-18,0.18,0.1779,amc,4,337888000.0,300538963.0,DLO,2025
2026-03-18,,,,4,,,IOR,2025
2026-03-18,-0.124,-0.0918,bmo,4,520000.0,,NEON,2025
2026-03-18,1.9,1.99,amc,4,2078527000.0,2125403846.0,BZ,2025
2026-03-18,0.851,1.5555,bmo,4,2575769000.0,2613245783.0,MOMO,2025
2026-03-18,-0.14,-0.1972,bmo,4,3149000.0,2678183.0,NSPR,2025
2026-03-18,0.24,0.1868,amc,4,1572000000.0,1582841742.0,EQPT,2025
2026-03-18,-0.05,0.0051,amc,4,22243000.0,23741775.0,USIO,2025
2026-03-18,,,,4,,,TCI,2025
2026-03-18,0.0,0.0,amc,4,4501000.0,4590000.0,GROY,2025
2026-03-18,-0.932,-0.6446,bmo,4,0.0,0.0,CING,2025
2026-03-18,-0.09,-0.2006,amc,4,1104000.0,695640.0,MRKR,2025
2026-03-18,3.04,2.9249,bmo,4,2357129000.0,2442396140.0,WSM,2026
2026-03-19,-0.38,-0.4747,amc,4,57673000.0,52879267.0,FLY,2025
2026-03-19,0.12,0.204,bmo,4,1266543000.0,1266172583.0,ARCO,2025
2026-03-19,0.55,0.5353,bmo,4,191580000.0,183854340.0,MOV,2026
2026-03-19,-0.94,-0.9976,amc,4,1929000.0,2422500.0,ALMS,2025
2026-03-19,5.25,4.1768,amc,3,24000000000.0,23663251054.0,FDX,2026
2026-03-19,-1.275,-0.6194,bmo,4,1217209000.0,1381975335.0,CSIQ,2025
2026-03-19,-0.16,-0.0357,bmo,4,112100000.0,114567930.0,DXLG,2026
2026-03-19,-2.03,-4.2126,bmo,4,9389000.0,9271973.0,PTHS,2025
2026-03-19,6.25,6.1742,bmo,4,2345100000.0,2365394861.0,SIG,2026
